Incorrect Biword,Corrected Result,Edit Distance Sum
Traffic Surges,traffic purges,2
Surges And,purges and,2
And Crashes,and rashes,2
Crashes In,rashes in,2
In Wake,in take,2
Wake Of,take of,2
Of Trump,of plump,3
Trump #,grumpy,3
# fasttraffic,a fast traffic,2
fasttraffic ,,fast traffic a,2
, #,a a,2
# sitetraffic,a site traffic,2
sitetraffic ,,site traffic a,2
, #,a a,2
# website,a web site,2
website ,,web site a,2
, #,a a,2
# traffic,a traffic,1
traffic https,traffic http,1
https :,http a,2
: //t.co/zRlJ26jnkC,a it icon all 269 not,15
//t.co/zRlJ26jnkC Mr,it icon all 269 not or,15
Mr Know-all,or now all,4
Know-all of,now all of,3
Immigration https,immigration http,2
https :,http a,2
: //t.co/wTQK4QDiKI,a it cow TQK4QDiKI,16
//t.co/wTQK4QDiKI Move,it cow TQK4QDiKI love,16
Move to,love to,1
Canada @,canada a,2
@ LadyMadonna___,a lady madonna of,8
LadyMadonna___ Oh,lady madonna of oh,8
Oh ,,oh a,2
, immigration,a immigration,1
rules ,,rules a,1
, you,a you,1
ca n't,can't,1
n't ...,not ...,4
... https,... http,4
https :,http a,2
: //t.co/5LIEVHO7A4,a it icon 5LIEVH 174,16
//t.co/5LIEVHO7A4 #,it icon 5LIEVH 174 a,16
# OnThisDay,a and dismay,6
OnThisDay Annette,and dismay annette,6
Annette Toft,annette soft,2
Toft becomes,soft becomes,1
since 1945,since 195,1
1945 .,195 a,2
. Do,a to,2
Do you,to you,1
immigration st‰Û_,immigration st of,4
st‰Û_ https,st of http,5
https :,http a,2
: //t.co/UvRuw8eR1b,a it icon iv we 1,15
//t.co/UvRuw8eR1b .,it icon iv we 1 a,15
. @,a a,2
@ TheEconomist,a the economist,4
TheEconomist profiles,the economist profile,4
profiles Canada,profile canada,2
policies &,policies a,1
& amp,a amp,1
amp ;,amp a,1
; how,a how,1
success :,success a,1
: ‰Û_,a ‰Û_,4
‰Û_ https,‰Û_ http,4
https :,http a,2
: //t.co/4K84EE8Y63,a it icon 484 1863,12
//t.co/4K84EE8Y63 Hundreds,it icon 484 1863 hundreds,12
citizenship ,,citizenship a,1
, resident,a resident,1
consultant https,consultant http,1
https :,http a,2
: //t.co/x2IfO0EXI2,a it cox 21f 000 2,14
//t.co/x2IfO0EXI2 Immigration,it cox 21f 000 2 immigration,14
india :,india a,1
: an,a an,1
handle :,handle a,1
: deyFy,a delay,3
deyFy '',delay ',3
'' #,' a,2
# Jamaican,a jamaica,3
Jamaican #,jamaica a,3
# immigrants,a immigrants,1
immigrants #,immigrants a,1
# Canada,a canada,2
Canada https,canada http,2
https :,http a,2
: //t.co/vcmfYGadR5,a it icon cf had 5,14
//t.co/vcmfYGadR5 #,it icon cf had 5 a,14
# statistics,a statistics,1
statistics #,statistics a,1
# immigration,a immigration,1
immigration '',immigration ',1
'' Mexican,' mexican,2
Mexican visa,mexican isa,2
visa lift,isa lift,1
Canada $,canada a,2
$ 262M,a 262,2
262M over,262 over,1
decade https,decade http,1
https :,http a,2
: //t.co/9i72fRhtij,a it icon 972 anti j,13
//t.co/9i72fRhtij Are,it icon 972 anti j are,13
to #,to a,1
# Canada,a canada,2
Canada ?,canada a,2
? ?,a a,2
? ?,a a,2
? Oh,a oh,2
right ,,right a,1
, they,a they,1
and it's‰Û_,and it's of,4
it's‰Û_ https,it's of http,5
https :,http a,2
: //t.co/0C5OBfmxLG,a it icon 053 of x,15
//t.co/0C5OBfmxLG Here,it icon 053 of x were,15
Here are,were are,1
Richmond ,,richmond a,2
, B.C,a B.C,4
B.C .,B.C a,4
. Immigration,a immigration,2
Consultant Sunny,consultant funny,2
Sunny Wang,funny sang,2
Wang who,sang who,1
... https,... http,4
https :,http a,2
: //t.co/YXH5W53srO,a it icon of 55 3rd,15
//t.co/YXH5W53srO I,it icon of 55 3rd a,15
I added,a added,1
a @,a a,1
@ YouTube,a voulu be,4
YouTube playlist,voulu be play list,4
playlist https,play list http,2
https :,http a,2
: //t.co/CnEyWN40x3,a of to corn by 403,14
//t.co/CnEyWN40x3 Funny,of to corn by 403 funny,14
of Haryanavi,of marya navy,3
Haryanavi Jat,marya navy at,4
Jat with,at with,1
Mexicans Can,mexicans an,2
Can Now,an now,2
Travel Visa-Free,travel his agree,5
Visa-Free To,his agree to,5
Canada https,canada http,2
https :,http a,2
: //t.co/Ec3XHORO2s,a it icon Ec3XHO 2s,16
//t.co/Ec3XHORO2s https,it icon Ec3XHO 2s http,16
https :,http a,2
: //t.co/RQRr5nebcG,a it icon of urine bc,14
//t.co/RQRr5nebcG L‰Û,it icon of urine bc L‰Û,16
L‰Û ª,L‰Û a,4
ª immigration,a immigration,1
immigration irrÌ©guliÌ¬re,immigration iron gulf were,8
irrÌ©guliÌ¬re au,iron gulf were au,8
Canada dÌ©cortiquÌ©e,canada did cortex use,9
dÌ©cortiquÌ©e en,did cortex use en,8
en 5åÊquestions,en 5 questions,3
5åÊquestions https,5 questions http,4
https :,http a,2
: //t.co/DkpuKyWmaK,a of to cook puny may,13
//t.co/DkpuKyWmaK @,of to cook puny may a,13
@ SweetnessShawnB,a sweetness hand,6
SweetnessShawnB Hes,sweetness hand yes,6
Hes the,yes the,1
that ramped,that cramped,1
ramped up,cramped up,1
Canada ,,canada a,2
, among,a among,1
other globalist,other global st,2
globalist policies,global st policies,2
policies .,policies a,1
. Canada,a canada,2
lifted visa,lifted isa,1
visa requirements,isa requirements,1
1 ,,1 a,1
, 2016,a 201,2
2016 .,201 a,2
. Thoughts,a thoughts,2
Thoughts ?,thoughts a,2
? #,a a,2
# visa,a isa,2
visa #,isa a,2
# immigration,a immigration,1
immigration @,immigration a,1
@ HuffingtonPost,a puffing inmost,6
HuffingtonPost people,puffing inmost people,5
people Keep,people deep,1
Keep praising,deep praising,1
they willl,they will,1
willl boot,will boot,1
