Original Token,Lemmatized Token
#,#
immigration,immigration
'',''
Mexican,Mexican
visa,visa
lift,lift
expected,expected
to,to
cost,cost
Canada,Canada
$,$
262M,262M
over,over
a,a
decade,decade
https,http
:,:
//t.co/9i72fRhtij,//t.co/9i72fRhtij
Are,Are
people,people
still,still
moving,moving
to,to
#,#
Canada,Canada
?,?
?,?
?,?
Oh,Oh
that,that
's,'s
right,right
,,,
they,they
have,have
real,real
immigration,immigration
laws,law
and,and
it's‰Û_,it's‰Û_
https,http
:,:
//t.co/0C5OBfmxLG,//t.co/0C5OBfmxLG
Here,Here
are,are
more,more
details,detail
on,on
the,the
Richmond,Richmond
,,,
B.C,B.C
.,.
Immigration,Immigration
Consultant,Consultant
Sunny,Sunny
Wang,Wang
who,who
was,wa
sentenced,sentenced
to,to
7,7
years,year
in,in
...,...
https,http
:,:
//t.co/YXH5W53srO,//t.co/YXH5W53srO
I,I
added,added
a,a
video,video
to,to
a,a
@,@
YouTube,YouTube
playlist,playlist
https,http
:,:
//t.co/CnEyWN40x3,//t.co/CnEyWN40x3
Funny,Funny
Talking,Talking
of,of
Haryanavi,Haryanavi
Jat,Jat
with,with
Canada,Canada
Immigration,Immigration
Girl,Girl
Agent,Agent
Mexicans,Mexicans
Can,Can
Now,Now
Travel,Travel
Visa-Free,Visa-Free
To,To
Canada,Canada
https,http
:,:
//t.co/Ec3XHORO2s,//t.co/Ec3XHORO2s
https,http
:,:
//t.co/RQRr5nebcG,//t.co/RQRr5nebcG
L‰Û,L‰Û
ª,ª
immigration,immigration
irrÌ©guliÌ¬re,irrÌ©guliÌ¬re
au,au
Canada,Canada
dÌ©cortiquÌ©e,dÌ©cortiquÌ©e
en,en
5åÊquestions,5åÊquestions
https,http
:,:
//t.co/DkpuKyWmaK,//t.co/DkpuKyWmaK
@,@
SweetnessShawnB,SweetnessShawnB
Hes,Hes
the,the
POS,POS
that,that
ramped,ramped
up,up
immigration,immigration
for,for
Canada,Canada
,,,
among,among
other,other
globalist,globalist
policies,policy
.,.
Canada,Canada
lifted,lifted
visa,visa
requirements,requirement
to,to
Mexico,Mexico
as,a
of,of
Dec,Dec
1,1
,,,
2016,2016
.,.
Thoughts,Thoughts
?,?
#,#
visa,visa
#,#
immigration,immigration
@,@
HuffingtonPost,HuffingtonPost
people,people
Keep,Keep
praising,praising
Canada,Canada
and,and
Canada,Canada
has,ha
way,way
stricter,stricter
immigration,immigration
laws,law
then,then
us,u
they,they
willl,willl
boot,boot
your,your
liberal,liberal
American,American
ass,as
